county,lat,lng
Marion,29.2102,-82.0567
Lake,28.7615,-81.7113
Bell,31.0373,-97.4788
Anoka,45.2733,-93.2465
Davis,40.9900,-112.1115
Westmoreland,40.3109,-79.4668
Larimer,40.6664,-105.4612
Chesterfield,37.3785,-77.5870
Douglas,39.3297,-104.9296
Horry,33.9214,-78.9966
Marion,44.9033,-122.5846
Galveston,29.3945,-94.9635
Cumberland,35.0487,-78.8277
Hamilton,40.0725,-86.0520
Somerset,40.5635,-74.6163
Henrico,37.5380,-77.4058
Rockland,41.1524,-74.0241
Boulder,40.0925,-105.3577
Rutherford,35.8427,-86.4167
Howard,39.2507,-76.9312
Fayette,38.0423,-84.4587
St. Lucie,27.3772,-80.4720
Durham,36.0360,-78.8766
Luzerne,41.1770,-75.9891
Escambia,30.6690,-87.3630
Lancaster,40.7842,-96.6878
Weld,40.5548,-104.3925
Spartanburg,34.9309,-81.9908
Lorain,41.2956,-82.1510
Lubbock,33.6102,-101.8205
Rockingham,42.9876,-71.1254
McHenry,42.3244,-88.4523
Albany,42.6002,-73.9736
St. Louis,38.6359,-90.2451
Northampton,40.7542,-75.3076
Lexington,33.9023,-81.2722
Cumberland,43.8465,-70.3990
Dutchess,41.7651,-73.7429
Anchorage,61.1508,-149.1091
Leon,30.4580,-84.2779
Gloucester,39.7173,-75.1414
Greene,37.2580,-93.3420
Ingham,42.5971,-84.3735
Chatham,32.0043,-81.1329
Ottawa,42.9598,-85.9961
Clayton,33.5419,-84.3577
Thurston,46.9258,-122.8332
Winnebago,42.3363,-89.1609
San Luis Obispo,35.3871,-120.4044
Cleveland,35.2031,-97.3265
Dauphin,40.4154,-76.7795
Webb,27.7611,-99.3316
York,34.9748,-81.1845
Merced,37.1919,-120.7177
Benton,36.3387,-94.2561
Santa Cruz,37.0562,-122.0018
Erie,41.9925,-80.0327
St. Joseph,41.6167,-86.2899
Kitsap,47.6130,-122.6716
Alachua,29.6748,-82.3577
New London,41.4867,-72.1014
Atlantic,39.4777,-74.6610
Madison,38.8297,-89.9049
Kalamazoo,42.2455,-85.5312
Brown,44.4525,-88.0037
St. Clair,38.4703,-89.9284
Buncombe,35.6112,-82.5301
Marin,38.0735,-122.7235
Washington,45.0388,-92.8838
St. Tammany,30.4102,-89.9583
Frederick,39.4722,-77.3980
St. Johns,29.9016,-81.4407
Weber,41.2698,-111.9134
McLennan,31.5524,-97.2018
Cherokee,34.2439,-84.4762
Harford,39.5611,-76.3171
Jefferson,29.8841,-94.1629
Cumberland,40.1636,-77.2655
Yakima,46.4570,-120.7385
Clay,39.3105,-94.4209
Norfolk,36.8945,-76.2590
Lafayette,30.2068,-92.0639
Caddo,32.5806,-93.8823
Chesapeake,36.6778,-76.3023
Forsyth,34.2255,-84.1251
Arlington,38.8786,-77.1011
Washington,35.9791,-94.2156
Union,34.9884,-80.5307
Hinds,32.2667,-90.4429
Warren,39.4277,-84.1668
Yavapai,34.5998,-112.5537
Williamson,35.8938,-86.8987
New Hanover,34.2328,-77.8847
Sussex,38.6606,-75.3900
Smith,32.3750,-95.2692
Henry,33.4530,-84.1542
Lake,41.6963,-81.2373
Saratoga,43.1074,-73.8639
Richmond,37.5295,-77.4756
Oneida,43.2417,-75.4358
Mahoning,41.0146,-80.7763
Montgomery,32.2203,-86.2076
Brazos,30.6608,-96.3024
Linn,42.0790,-91.5990
Jefferson,38.2611,-90.5377
Whatcom,48.8258,-121.7196
Canyon,43.6251,-116.7093
Butte,39.6669,-121.6007
Hays,30.0579,-98.0312
Gaston,35.2944,-81.1803
Berkeley,33.1973,-79.9522
Jackson,42.4322,-122.7285
Yolo,38.6866,-121.9016
Baldwin,30.7276,-87.7226
Doña Ana,32.3526,-106.8327
Shelby,33.2643,-86.6607
Clay,29.9831,-81.8579
Barnstable,41.7244,-70.2904
Yuma,32.7695,-113.9057
Cabarrus,35.3868,-80.5519
Mohave,35.7041,-113.7579
Lackawanna,41.4367,-75.6093
Niagara,43.2001,-78.7453
Champaign,40.1401,-88.1992
Tuscaloosa,33.2896,-87.5251
Okaloosa,30.6913,-86.5917
Washington,40.1894,-80.2483
Harrison,30.5122,-89.1161
York,43.4782,-70.7144
Clermont,39.0476,-84.1517
Delaware,40.2784,-83.0049
Elkhart,41.5974,-85.8587
Montgomery,36.4969,-87.3829
Johnston,35.5178,-78.3657
Calcasieu,30.2293,-93.3580
Richmond,33.3596,-82.0736
Hall,34.3169,-83.8197
Hawaii,19.5985,-155.5185
Benton,46.2398,-119.5112
Anderson,34.5193,-82.6378
St. Louis,47.6032,-92.4707
Trumbull,41.3172,-80.7611
Onslow,34.7321,-77.4321
Sangamon,39.7582,-89.6589
Racine,42.7475,-88.0612
Muscogee,32.5100,-84.8771
Tippecanoe,40.3886,-86.8941
Broome,42.1602,-75.8196
Deschutes,43.9150,-121.2282
Minnehaha,43.6742,-96.7915
Saginaw,43.3350,-84.0532
Livingston,42.6029,-83.9115
Hernando,28.5535,-82.4245
El Dorado,38.7787,-120.5247
Beaufort,32.3855,-80.7302
Butler,40.9120,-79.9133
Sumner,36.4694,-86.4604
Outagamie,44.4161,-88.4649
Charlotte,26.9055,-81.9123
Sarpy,41.1129,-96.1119
DeSoto,34.8753,-89.9912
Vanderburgh,38.0249,-87.5859
Litchfield,41.7925,-73.2453
Peoria,40.7880,-89.7600
Kanawha,38.3366,-81.5281
Imperial,33.0395,-115.3653
Bay,30.2652,-85.6203
Pitt,35.5933,-77.3745
Cass,46.9330,-97.2480
Boone,38.9906,-92.3097
Santa Rosa,30.7004,-87.0219
